"log_date","app_name","user_id","payment"
"2013-06-01","game-01",351,13330
"2013-06-01","game-01",12796,810
"2013-06-01","game-01",364,5710
"2013-06-01","game-01",13212,6480
"2013-06-01","game-01",13212,11420
"2013-06-01","game-01",13212,5710
"2013-06-01","game-01",13212,13330
"2013-06-01","game-01",3547,5710
"2013-06-01","game-01",12644,810
"2013-06-01","game-01",19,1620
"2013-06-01","game-01",1359,810
"2013-06-01","game-01",9757,13330
"2013-06-02","game-01",117,13330
"2013-06-02","game-01",117,5710
"2013-06-02","game-01",128,810
"2013-06-02","game-01",364,5710
"2013-06-02","game-01",364,1620
"2013-06-02","game-01",3,5710
"2013-06-02","game-01",7064,5710
"2013-06-02","game-01",734,810
"2013-06-02","game-01",734,1620
"2013-06-02","game-01",13212,5710
"2013-06-02","game-01",13212,13330
"2013-06-02","game-01",4171,0
"2013-06-02","game-01",4171,1620
"2013-06-02","game-01",8745,5710
"2013-06-02","game-01",8745,3240
"2013-06-02","game-01",3547,1620
"2013-06-02","game-01",3547,5710
"2013-06-02","game-01",435,5710
"2013-06-02","game-01",19,5710
"2013-06-02","game-01",19,810
"2013-06-02","game-01",19,3240
"2013-06-02","game-01",19,13330
"2013-06-02","game-01",19,1620
"2013-06-02","game-01",220,1620
"2013-06-02","game-01",13444,2430
"2013-06-02","game-01",71,5710
"2013-06-02","game-01",71,13330
"2013-06-02","game-01",71,11420
"2013-06-02","game-01",246,1620
"2013-06-02","game-01",246,810
"2013-06-02","game-01",246,5710
"2013-06-02","game-01",246,2430
"2013-06-03","game-01",351,3330
"2013-06-03","game-01",13015,810
"2013-06-03","game-01",6544,5710
"2013-06-03","game-01",11,3330
"2013-06-03","game-01",220,1620
"2013-06-03","game-01",12972,1620
"2013-06-03","game-01",12972,810
"2013-06-03","game-01",340,5710
"2013-06-04","game-01",351,13330
"2013-06-04","game-01",351,6660
"2013-06-04","game-01",364,5710
"2013-06-04","game-01",35,13330
"2013-06-04","game-01",3,13330
"2013-06-04","game-01",3,3330
"2013-06-04","game-01",13015,5710
"2013-06-04","game-01",435,3330
"2013-06-04","game-01",286,25710
"2013-06-04","game-01",286,3330
"2013-06-04","game-01",10844,1620
"2013-06-04","game-01",10844,4860
"2013-06-04","game-01",1359,1620
"2013-06-05","game-01",351,810
