"log_date","app_name","user_id"
"2013-06-01","game-01",116
"2013-06-01","game-01",13491
"2013-06-01","game-01",7006
"2013-06-01","game-01",117
"2013-06-01","game-01",13492
"2013-06-01","game-01",9651
"2013-06-01","game-01",1
"2013-06-01","game-01",3
"2013-06-01","game-01",6
"2013-06-01","game-01",11
"2013-06-01","game-01",17
"2013-06-01","game-01",18
"2013-06-01","game-01",19
"2013-06-01","game-01",28
"2013-06-01","game-01",33
"2013-06-01","game-01",34
"2013-06-01","game-01",35
"2013-06-01","game-01",37
"2013-06-01","game-01",47
"2013-06-01","game-01",50
"2013-06-01","game-01",57
"2013-06-01","game-01",71
"2013-06-01","game-01",75
"2013-06-01","game-01",89
"2013-06-01","game-01",92
"2013-06-01","game-01",94
"2013-06-01","game-01",101
"2013-06-01","game-01",105
"2013-06-01","game-01",122
"2013-06-01","game-01",123
"2013-06-01","game-01",128
"2013-06-01","game-01",144
"2013-06-01","game-01",146
"2013-06-01","game-01",151
"2013-06-01","game-01",157
"2013-06-01","game-01",158
"2013-06-01","game-01",159
"2013-06-01","game-01",160
"2013-06-01","game-01",164
"2013-06-01","game-01",172
"2013-06-01","game-01",173
"2013-06-01","game-01",174
"2013-06-01","game-01",183
"2013-06-01","game-01",184
"2013-06-01","game-01",186
"2013-06-01","game-01",188
"2013-06-01","game-01",189
"2013-06-01","game-01",197
"2013-06-01","game-01",203
"2013-06-01","game-01",210
"2013-06-01","game-01",214
"2013-06-01","game-01",220
"2013-06-01","game-01",226
"2013-06-01","game-01",229
"2013-06-01","game-01",235
"2013-06-01","game-01",237
"2013-06-01","game-01",238
"2013-06-01","game-01",243
"2013-06-01","game-01",245
"2013-06-01","game-01",246
"2013-06-01","game-01",249
"2013-06-01","game-01",255
"2013-06-01","game-01",257
"2013-06-01","game-01",259
"2013-06-01","game-01",264
"2013-06-01","game-01",267
"2013-06-01","game-01",268
"2013-06-01","game-01",273
"2013-06-01","game-01",277
"2013-06-01","game-01",281
"2013-06-01","game-01",282
