"install_date","app_name","user_id"
"2013-04-15","game-01",1
"2013-04-15","game-01",2
"2013-04-15","game-01",3
"2013-04-15","game-01",4
"2013-04-15","game-01",5
"2013-04-15","game-01",6
"2013-04-15","game-01",7
"2013-04-15","game-01",8
"2013-04-15","game-01",9
"2013-04-15","game-01",10
"2013-04-15","game-01",11
"2013-04-15","game-01",12
"2013-04-15","game-01",13
"2013-04-15","game-01",14
"2013-04-15","game-01",15
"2013-04-15","game-01",16
"2013-04-15","game-01",17
"2013-04-15","game-01",18
"2013-04-15","game-01",19
"2013-04-15","game-01",20
"2013-04-15","game-01",21
"2013-04-15","game-01",22
"2013-04-15","game-01",23
"2013-04-15","game-01",24
"2013-04-15","game-01",25
"2013-04-16","game-01",26
"2013-04-16","game-01",27
"2013-04-16","game-01",28
"2013-04-16","game-01",29
"2013-04-16","game-01",30
"2013-04-16","game-01",31
"2013-04-16","game-01",32
"2013-04-16","game-01",33
"2013-04-16","game-01",34
"2013-04-16","game-01",35
"2013-04-16","game-01",36
"2013-04-16","game-01",37
"2013-04-16","game-01",38
"2013-04-16","game-01",39
"2013-04-16","game-01",40
"2013-04-16","game-01",41
"2013-04-16","game-01",42
"2013-04-16","game-01",43
"2013-04-16","game-01",44
"2013-04-16","game-01",45
"2013-04-16","game-01",46
"2013-04-16","game-01",47
"2013-04-16","game-01",48
"2013-04-16","game-01",49
"2013-04-16","game-01",50
"2013-04-16","game-01",51
"2013-04-16","game-01",52
"2013-04-16","game-01",53
"2013-04-16","game-01",54
"2013-04-16","game-01",55
"2013-04-16","game-01",56
"2013-04-16","game-01",57
"2013-04-16","game-01",58
"2013-04-16","game-01",59
"2013-04-16","game-01",60
"2013-04-16","game-01",61
"2013-04-16","game-01",62
"2013-04-16","game-01",63
"2013-04-16","game-01",64
"2013-04-16","game-01",65
"2013-04-16","game-01",66
"2013-04-16","game-01",67
"2013-04-16","game-01",68
"2013-04-16","game-01",69
"2013-04-16","game-01",70
"2013-04-16","game-01",71
"2013-04-16","game-01",72
"2013-04-16","game-01",73
"2013-04-16","game-01",74
"2013-04-16","game-01",75
"2013-04-16","game-01",76
"2013-04-16","game-01",77
"2013-04-16","game-01",78
"2013-04-16","game-01",79
"2013-04-16","game-01",80
"2013-04-16","game-01",81
"2013-04-16","game-01",82
"2013-04-16","game-01",83
"2013-04-16","game-01",84
"2013-04-16","game-01",85
"2013-04-16","game-01",86
"2013-04-16","game-01",87
"2013-04-16","game-01",88
"2013-04-16","game-01",89
"2013-04-16","game-01",90
"2013-04-16","game-01",91
"2013-04-16","game-01",92
"2013-04-16","game-01",93
"2013-04-16","game-01",94
"2013-04-16","game-01",95
"2013-04-16","game-01",96
"2013-04-16","game-01",97
"2013-04-16","game-01",98
"2013-04-16","game-01",99
"2013-04-16","game-01",100
"2013-04-16","game-01",101
"2013-04-16","game-01",102
"2013-04-16","game-01",103
"2013-04-16","game-01",104
"2013-04-16","game-01",105
"2013-04-16","game-01",106
"2013-04-16","game-01",107
"2013-04-16","game-01",108
"2013-04-16","game-01",109
"2013-04-16","game-01",110
"2013-04-16","game-01",111
"2013-04-16","game-01",112
"2013-04-16","game-01",113
"2013-04-16","game-01",114
"2013-04-16","game-01",115
"2013-04-17","game-01",116
"2013-04-17","game-01",117
"2013-04-17","game-01",118
"2013-04-17","game-01",119
"2013-04-17","game-01",120
"2013-04-17","game-01",121
"2013-04-17","game-01",122
"2013-04-17","game-01",123
"2013-04-17","game-01",124
"2013-04-17","game-01",125
"2013-04-17","game-01",126
"2013-04-17","game-01",127
"2013-04-17","game-01",128
"2013-04-17","game-01",129
